architecture,task,val_accuracy,val_f1_macro,path
resnet50,disease_enhanced,0.4207221350078493,0.40757069352563724,C:\Users\Lenovo\Desktop\thesis_project\gui_demo\models\resnet50_disease.keras
densenet121,disease_enhanced,0.42148759961128235,0.4043527723211038,C:\Users\Lenovo\Desktop\thesis_project\gui_demo\models\densenet121_disease.keras
efficientnetb0,disease_enhanced,0.43305784463882446,0.43212319799675725,C:\Users\Lenovo\Desktop\thesis_project\gui_demo\models\efficientnetb0_disease.keras
mobilenetv2,disease_enhanced,0.4264462888240814,0.36471652184483955,C:\Users\Lenovo\Desktop\thesis_project\gui_demo\models\mobilenetv2_disease.keras
